rikishi1,odds1,rikishi2,odds2
Hakuho,1.6,Harumafuji,2.2
Kakuryu,2.4,Kotoshogiku,1.5
Kisenosato,1.6,Kotooshu,2.2
Takayasu,1.65,Tochiozan,2.1
Baruto,1.65,Aran,2.1
Myogiryu,1.75,Takekaze,1.95
Myogiryu,1.85,Homasho,1.85
Hakuho,1.11,Kisenosato,5.5
Goeido,2,Kakuryu,1.72
Shohozan,1.55,Tochiozan,2.3
Kotooshu,2.65,Harumafuji,1.42
Aoiyama,1.55,Toyonoshima,2.3
Baruto,1.85,Kotoshogiku,1.85
Kyokutenho,2.4,Aminishiki,1.5
Goeido,1.85,Tochinoshin,1.85
Hakuho,1.1,Baruto,5.8
Kotooshu,1.55,Kakuryu,2.3
Kaisei,4.3,Harumafuji,1.18
Kisenosato,2.3,Kotoshogiku,1.55
Myogiryu,2.4,Aran,1.5
Hakuho,1.15,Kotoshogiku,4.75
Kakuryu,1.38,Harumafuji,1.22
Tochinoshin,1.95,Miyabiyama,1.75
Kotooshu,1.65,Myogiryu,2.1
Aminishiki,1.95,Toyonoshima,1.75
Kisenosato,2.2,Baruto,1.6
Okinoumi,1.95,Tochiozan,1.75
Goeido,1.5,Kyokutenho,2.4
Aoiyama,1.75,Takekaze,1.95
Aoiyama,2.1,Wakakoyu,1.65
Hakuho,1.1,Kotooshu,5.8
Kisenosato,2.95,Harumafuji,1.35
Aminishiki,1.95,Tochiozan,1.75
Miyabiyama,1.95,Shohozan,1.75
Baruto,1.6,Kakuryu,2.2
Myogiryu,2.1,Kotoshogiku,1.65
Okinoumi,2.4,Toyonoshima,1.5
Kyokutenho,1.95,Takayasu,1.75
Goeido,2.1,Kaisei,1.65
Myogiryu,1.85,Takekaze,1.85
Baruto,1.75,Kotooshu,1.95
Goeido,1.65,Aminishiki,2.1
Kyokutenho,1.95,Toyonoshima,1.75
Wakakoyu,1.65,Okinoumi,2.1
Harumafuji,1.65,Kotoshogiku,2.1
Hakuho,1.07,Kakuryu,6.8
Aoiyama,1.85,Shohozan,1.85
Kisenosato,1.42,Tochiozan,2.65
Baruto,2.1,Harumafuji,1.65
Wakakoyu,2.4,Kotoshogiku,1.5
Kyokutenho,1.85,Tochiozan,1.85
Kotooshu,1.42,Toyonoshima,2.65
Hakuho,1.05,Goeido,7.8
Kisenosato,1.55,Kakuryu,2.3
Aminishiki,1.95,Kakuryu,1.75
Hakuho,1.05,Tochiozan,7.8
Kisenosato,1.42,Wakakoyu,2.65
Toyonoshima,3.2,Harumafuji,1.3
Baruto,1.42,Myogiryu,2.65
Goeido,1.95,Kotoshogiku,1.75
Kyokutenho,1.65,Aoiyama,2.1
Kotooshu,1.2,Okinoumi,4
Kisenosato,1.25,Goeido,3.55
Toyonoshima,3.8,Kotoshogiku,1.22
Baruto,1.42,Aoiyama,2.65
Myogiryu,1.5,Aminishiki,2.4
Shohozan,4,Harumafuji,1.2
Hakuho,1.05,Wakakoyu,7.8
Kotooshu,1.25,Kyokutenho,3.55
Tochiozan,2.55,Kakuryu,1.45
Homasho,1.5,Takekaze,2.4
Kyokutenho,2.95,Kakuryu,1.35
Kotooshu,1.55,Tochiozan,2.3
Shohozan,2.4,Kotoshogiku,1.5
Hakuho,1.05,Okinoumi,7.8
Kisenosato,1.5,Aoiyama,2.4
Myogiryu,1.65,Toyonoshima,2.1
Baruto,1.42,Wakakoyu,2.65
Goeido,2.95,Harumafuji,1.35
Kisenosato,1.25,Toyonoshima,3.55
Wakakoyu,1.85,Kakuryu,1.85
Baruto,1.42,Aminishiki,2.65
Goeido,1.75,Tochiozan,1.95
Kyokutenho,2.1,Kotoshogiku,1.65
Kotooshu,1.5,Aoiyama,2.4
Okinoumi,2.3,Harumafuji,1.55
Hakuho,1.08,Myogiryu,6.8
Baruto,1.6,Goeido,2.2
Myogiryu,1.85,Tochiozan,1.85
Okinoumi,2.3,Kotoshogiku,1.55
Kyokutenho,2.65,Harumafuji,1.42
Kotooshu,1.65,Shohozan,2.1
Wakakoyu,1.95,Shotenro,1.75
Hakuho,1.08,Aoiyama,6.8
Kisenosato,1.3,Aminishiki,3.2
Toyonoshima,2.3,Kakuryu,1.55
Kisenosato,1.55,Kyokutenho,2.3
Myogiryu,2.65,Kakuryu,1.42
Tochiozan,1.95,Harumafuji,1.75
Baruto,1.5,Okinoumi,2.4
Goeido,2.2,Toyonoshima,1.6
Aran,2.1,Shohozan,1.65
Kotooshu,1.85,Wakakoyu,1.85
Tochinoshin,1.42,Takekaze,2.65
Hakuho,1.07,Aminishiki,6.8
Aoiyama,2.1,Kotoshogiku,1.65
Hakuho,1.1,Kyokutenho,5.8
Kotooshu,1.35,Goeido,2.95
Tochinoshin,1.91,Aran,1.8
Takekaze,1.95,Shohozan,1.75
Kisenosato,1.25,Okinoumi,3.55
Aminishiki,2.4,Kotoshogiku,1.5
Wakakoyu,1.8,Tochiozan,1.91
Baruto,1.3,Toyonoshima,3.2
Myogiryu,2.1,Harumafuji,1.65
Aoiyama,1.91,Kakuryu,1.8
Aran,1.5,Takekaze,2.4
Hakuho,1.1,Toyonoshima,5.8
Harumafuji,2.1,Kakuryu,1.65
Tochinoshin,1.65,Shohozan,2.1
Aoiyama,2.1,Harumafuji,1.65
Kisenosato,1.35,Myogiryu,2.95
Goeido,1.3,Wakakoyu,3.2
Tochiozan,2.1,Kotoshogiku,1.65
Baruto,1.65,Kyokutenho,2.1
Kotooshu,1.75,Aminishiki,1.95
