rikishi1,odds1,rikishi2,odds2
Takayasu,2,Gagamaru,1.72
Baruto,1.85,Kotoshogiku,1.85
Goeido,1.6,Shohozan,2.2
Okinoumi,1.65,Myogiryu,2.1
Tokitenku,1.72,Shotenro,2
Harumafuji,4,Hakuho,1.2
Tochiozan,1.65,Toyonoshima,2.1
Toyohibiki,2.1,Tochinoshin,1.65
Kisenosato,1.35,Kakuryu,2.95
Kaisei,2.2,Aminishiki,1.6
Kakuryu,6.8,Hakuho,1.07
Aminishiki,2.55,Baruto,1.45
Takayasu,1.65,Myogiryu,2.1
Harumafuji,1.3,Kisenosato,3.2
Toyonoshima,2.3,Takekaze,1.55
Tochiozan,1.65,Kitataiki,2.1
Ikioi,2.4,Tochinoshin,1.5
Goeido,1.6,Okinoumi,2.2
Shohozan,2,Kotoshogiku,1.72
Kisenosato,1.72,Kotoshogiku,2
Tochiozan,1.6,Okinoumi,2.2
Takayasu,2,Tochinoshin,1.72
Goeido,9,Hakuho,1.03
Aran,2.35,Aminishiki,1.55
Kitataiki,2.95,Myogiryu,1.35
Harumafuji,1.25,Kakuryu,3.55
Toyonoshima,3.2,Baruto,1.3
Tokitenku,1.47,Gagamaru,2.5
Goeido,2.4,Toyonoshima,1.5
Kaisei,2.15,Tochinoshin,1.62
Kisenosato,4.75,Hakuho,1.15
Kakuryu,1.35,Ikioi,2.95
Myogiryu,2.95,Baruto,1.35
Tokitenku,2.35,Aminishiki,1.52
Tochiozan,1.85,Shohozan,1.85
Takayasu,2.3,Aran,1.55
Harumafuji,1.65,Kotoshogiku,2.1
Kisenosato,1.35,Toyonoshima,2.95
Kakuryu,1.55,Tokitenku,2.3
Aran,1.85,Aoiyama,1.85
Harumafuji,1.25,Goeido,3.55
Tochinoshin,3.55,Baruto,1.25
Ikioi,2.3,Myogiryu,1.55
Kotoshogiku,4.75,Hakuho,1.15
Tochiozan,1.5,Takayasu,2.4
Shohozan,1.57,Aminishiki,2.25
Kisenosato,1.35,Ikioi,2.95
Goeido,1.4,Tochinoshin,2.75
Takayasu,1.55,Tokitenku,2.3
Baruto,5,Hakuho,1.14
Kakuryu,1.65,Tochiozan,2.1
Toyonoshima,2.75,Kotoshogiku,1.4
Harumafuji,1.22,Shohozan,3.8
Myogiryu,1.72,Aminishiki,2
Shohozan,1.55,Tochinoshin,2.3
Kakuryu,2.1,Kotoshogiku,1.65
Aran,1.85,Gagamaru,1.85
Harumafuji,1.3,Baruto,3.2
Toyonoshima,5,Hakuho,1.14
Ikioi,2,Aminishiki,1.72
Kisenosato,1.25,Tokitenku,3.55
Goeido,1.72,Takayasu,2
Tochiozan,2,Myogiryu,1.72
Tochiozan,3.2,Baruto,1.3
Shohozan,2.2,Myogiryu,1.6
Ikioi,5.5,Hakuho,1.11
Kakuryu,1.4,Tochinoshin,2.75
Takayasu,2.1,Aminishiki,1.65
Tokitenku,2.2,Kotoshogiku,1.6
Harumafuji,1.18,Toyonoshima,4.3
Aran,1.6,Kitataiki,2.2
Toyohibiki,2.4,Kaisei,1.5
Kisenosato,1.5,Goeido,2.4
Aminishiki,2.95,Kotoshogiku,1.35
Kakuryu,1.45,Toyonoshima,2.55
Chiyotairyu,1.75,Aran,1.95
Tokitenku,5.8,Hakuho,1.1
Harumafuji,1.2,Ikioi,4
Myogiryu,1.65,Tochinoshin,2.1
Takayasu,2.55,Baruto,1.45
Kisenosato,1.72,Shohozan,2
Goeido,2,Tochiozan,1.72
Kisenosato,2.75,Baruto,1.4
Tochiozan,1.3,Aminishiki,3.2
Tochinoshin,2.95,Kotoshogiku,1.35
Chiyotairyu,4.75,Hakuho,1.15
Kakuryu,1.4,Goeido,2.7
Toyonoshima,1.85,Aoiyama,1.85
Takayasu,1.65,Ikioi,2.1
Harumafuji,1.2,Tokitenku,4
Myogiryu,2.1,Kotooshu,1.65
Okinoumi,2.35,Shohozan,1.52
Toyonoshima,1.5,Okinoumi,2.4
Kisenosato,1.65,Chiyotairyu,2.1
Tokitenku,1.55,Aran,2.3
Tochiozan,5.5,Hakuho,1.11
Baruto,2,Kotooshu,1.72
Kakuryu,1.52,Takayasu,2.35
Kaisei,1.72,Ikioi,2
Goeido,1.68,Kotoshogiku,2.05
Tochinoshin,1.85,Aminishiki,1.85
Harumafuji,1.2,Myogiryu,4
Kakuryu,2,Baruto,1.72
Toyonoshima,1.5,Gagamaru,2.4
Tokitenku,2,Ikioi,1.72
Harumafuji,1.18,Chiyotairyu,4.3
Myogiryu,5,Hakuho,1.14
Takayasu,2.4,Harumafuji,1.5
Kisenosato,1.5,Tochiozan,2.4
Goeido,1.55,Aminishiki,2.3
Tochinoshin,3,Kotooshu,1.34
Kitataiki,1.91,Shohozan,1.8
Chiyotairyu,2.2,Kotooshu,1.6
Tochiozan,1.85,Kotoshogiku,1.85
Tokitenku,1.85,Kaisei,1.85
Goeido,2.1,Baruto,1.65
Aran,1.95,Ikioi,1.75
Kisenosato,1.3,Aminishiki,3.2
Kakuryu,1.6,Myogiryu,2.2
Tochinoshin,5.8,Hakuho,1.1
Goeido,1.4,Ikioi,2.7
Tochiozan,1.8,Kotooshu,1.9
Chiyotairyu,2.4,Kotoshogiku,1.5
Kakuryu,1.9,Aminishiki,1.8
Aran,2.3,Shohozan,1.55
Tokitenku,3.4,Baruto,1.27
Harumafuji,1.15,Tochinoshin,4.75
