rikishi1,odds1,rikishi2,odds2
Hakuho,1.11,Kotoshogiku,5.5
Goeido,2.2,Takayasu,1.6
Tochinoshin,2.1,Aminishiki,1.65
Takarafuji,2.4,Takekaze,1.5
Kotooshu,2.4,Harumafuji,1.5
Myogiryu,1.6,Tokitenku,2.2
Kitataiki,2.4,Aoiyama,1.5
Kisenosato,1.15,Kakuryu,4.75
Tochiozan,1.55,Shohozan,2.3
Aran,1.55,Okinoumi,2.3
Kotoshogiku,1.22,Aran,3.8
Aoiyama,2.1,Kotooshu,1.65
Kisenosato,2,Harumafuji,1.72
Myogiryu,1.35,Aminishiki,2.95
Kitataiki,2,Okinoumi,1.72
Hakuho,1.15,Kakuryu,4.75
Goeido,1.67,Shohozan,2.1
Tochiozan,2.05,Toyonoshima,1.67
Kotoshogiku,1.65,Harumafuji,2.1
Myogiryu,1.65,Shohozan,2.1
Takekaze,2,Aminishiki,1.72
Kisenosato,1.2,Aran,4
Tochiozan,1.3,Kitataiki,3.2
Aoiyama,3.55,Kakuryu,1.25
Hakuho,1.14,Kotooshu,5
Goeido,1.95,Toyonoshima,1.75
Tochinoshin,2.3,Okinoumi,1.55
Kitataiki,2.55,Takayasu,1.45
Kisenosato,1.72,Kotooshu,2
Myogiryu,1.5,Okinoumi,2.4
Shohozan,4.75,Harumafuji,1.15
Hakuho,1.11,Goeido,5.5
Tochiozan,1.72,Aminishiki,2
Aran,3.55,Kakuryu,1.25
Kotoshogiku,1.5,Aoiyama,2.4
Toyonoshima,1.4,Tochinoshin,2.72
Kitataiki,2.4,Kotooshu,1.5
Kisenosato,1.2,Toyonoshima,4
Tochiozan,2.2,Myogiryu,1.6
Shohozan,1.72,Toyohibiki,2
Hakuho,1.15,Aoiyama,4.75
Goeido,4,Harumafuji,1.2
Takekaze,2,Aran,1.72
Takarafuji,2,Tochinoshin,1.72
Kotoshogiku,1.72,Kakuryu,2
Aminishiki,1.72,Okinoumi,2
Toyonoshima,4,Harumafuji,1.2
Kitataiki,2,Aminishiki,1.72
Hakuho,1.1,Aran,5.8
Tochiozan,2.1,Kotooshu,1.65
Okinoumi,2.95,Kakuryu,1.35
Kotoshogiku,1.15,Tochinoshin,4.75
Aoiyama,1.55,Takekaze,2.3
Takarafuji,2.75,Takayasu,1.4
Kisenosato,1.3,Goeido,3.2
Okinoumi,1.95,Kotooshu,1.75
Kisenosato,1.85,Baruto,1.85
Myogiryu,1.72,Aran,2
Aoiyama,2.95,Harumafuji,1.35
Kitataiki,2.3,Toyonoshima,1.55
Hakuho,1.07,Takarafuji,6.8
Goeido,1.35,Aminishiki,2.95
Tochinoshin,4,Kakuryu,1.2
Shohozan,2,Yoshikaze,1.72
Kotoshogiku,1.65,Tochiozan,2.1
Kisenosato,1.2,Tochinoshin,4
Tochiozan,3.05,Baruto,1.33
Aoiyama,1.55,Ikioi,2.3
Hakuho,1.07,Okinoumi,6.8
Goeido,2.1,Kakuryu,1.65
Aran,3.8,Harumafuji,1.22
Kotoshogiku,1.45,Myogiryu,2.55
Aminishiki,2.75,Kotooshu,1.4
Kitataiki,1.72,Takarafuji,2
Kitataiki,4,Kakuryu,1.2
Kisenosato,2.8,Aminishiki,1.38
Myogiryu,2.55,Kotooshu,1.45
Shohozan,2.1,Toyonoshima,1.65
Hakuho,1.08,Tochinoshin,6.5
Tochiozan,4.75,Harumafuji,1.15
Takayasu,2.4,Aran,1.5
Takarafuji,2.65,Aoiyama,1.42
Kotoshogiku,2,Goeido,1.72
Okinoumi,2.4,Baruto,1.5
Hakuho,1.11,Kitataiki,5.5
Kotoshogiku,1.35,Takarafuji,2.95
Tochinoshin,4.3,Harumafuji,1.18
Kisenosato,1.2,Tochiozan,3.8
Myogiryu,1.85,Kakuryu,1.85
Yoshikaze,2.72,Toyonoshima,1.4
Baruto,2.3,Kotooshu,1.55
Goeido,1.35,Okinoumi,2.95
Aran,2,Aminishiki,1.72
Goeido,1.6,Tochiozan,2.2
Takayasu,2.2,Toyonoshima,1.6
Kotoshogiku,1.2,Aminishiki,4
Aoiyama,1.65,Shohozan,2.1
Takarafuji,2.5,Kotooshu,1.45
Hakuho,1.1,Myogiryu,5.5
Kisenosato,1.15,Okinoumi,4.75
Aran,1.9,Tochinoshin,1.8
Kitataiki,3.2,Harumafuji,1.3
Baruto,1.72,Kakuryu,2
Kotoshogiku,1.35,Okinoumi,2.95
Myogiryu,3.2,Harumafuji,1.3
Takarafuji,1.9,Toyonoshima,1.8
Kisenosato,1.45,Kitataiki,2.55
Tochiozan,1.95,Kakuryu,1.75
Aoiyama,2.45,Aran,1.48
Hakuho,1.14,Aminishiki,5
Goeido,1.85,Kotooshu,1.85
Tochinoshin,3.2,Baruto,1.3
Yoshikaze,1.85,Takayasu,1.85
Shohozan,1.85,Takayasu,1.85
Kotoshogiku,1.45,Kitataiki,2.55
Tochinoshin,2.55,Kotooshu,1.45
Okinoumi,3.2,Harumafuji,1.3
Kisenosato,1.45,Myogiryu,2.55
Aminishiki,1.75,Kakuryu,1.95
Aoiyama,2,Toyonoshima,1.72
Hakuho,1.1,Tochiozan,5.75
Goeido,1.6,Takarafuji,2.2
Aran,2.3,Baruto,1.55
