rikishi1,odds1,rikishi2,odds2
Tochiozan,2.72,Baruto,1.4
Kyokutenho,3.2,Kakuryu,1.3
Kotooshu,1.4,Gagamaru,2.72
Kaisei,4.75,Harumafuji,1.15
Hakuho,1.15,Toyohibiki,4.75
Aminishiki,1.8,Toyonoshima,1.9
Shohozan,5,Harumafuji,1.14
Kisenosato,1.25,Toyohibiki,3.55
Myogiryu,2.2,Kotoshogiku,1.6
Gagamaru,1.85,Takayasu,1.85
Baruto,1.6,Kakuryu,2.2
Goeido,1.5,Tochiozan,2.4
Tochinoshin,1.5,Aran,2.4
Hakuho,1.1,Kyokutenho,5.8
Kotooshu,1.7,Kaisei,2.02
Toyonoshima,2.3,Kakuryu,1.55
Kisenosato,1.5,Myogiryu,2.4
Aoiyama,1.5,Ikioi,2.4
Toyohibiki,4,Harumafuji,1.2
Hakuho,1.1,Tochiozan,5.8
Kotooshu,1.65,Goeido,2.1
Aran,1.75,Kyokutenho,1.95
Shohozan,2,Baruto,1.72
Aminishiki,2.4,Kotoshogiku,1.5
Gagamaru,2.1,Kaisei,1.65
Toyohibiki,2.2,Aran,1.6
Kyokutenho,4.3,Harumafuji,1.18
Goeido,1.85,Kotoshogiku,1.85
Tochiozan,1.55,Shohozan,2.3
Hakuho,1.14,Toyonoshima,5
Kotooshu,1.25,Myogiryu,3.55
Gagamaru,2.3,Aoiyama,1.55
Ikioi,2.2,Kaisei,1.6
Kisenosato,2.1,Baruto,1.65
Aminishiki,1.75,Kakuryu,1.95
Kotooshu,1.6,Aminishiki,2.2
Aran,1.65,Kaisei,2.1
Shohozan,2.3,Kakuryu,1.55
Kisenosato,1.45,Tochiozan,2.55
Toyonoshima,4.8,Harumafuji,1.15
Takayasu,1.6,Ikioi,2.2
Hakuho,1.1,Myogiryu,5.8
Goeido,2.1,Baruto,1.65
Gagamaru,2.2,Kyokutenho,1.6
Toyohibiki,2.5,Kotoshogiku,1.5
Kisenosato,1.55,Kyokutenho,2.3
Myogiryu,2.8,Harumafuji,1.38
Toyohibiki,2.72,Kaisei,1.4
Baruto,1.75,Kotoshogiku,1.95
Goeido,2.7,Toyonoshima,1.4
Tochiozan,1.95,Kakuryu,1.75
Hakuho,1.15,Aminishiki,4.75
Kotooshu,1.7,Shohozan,2.02
Gagamaru,1.8,Tochinoshin,1.9
Ikioi,1.75,Aran,1.95
Toyohibiki,2.72,Baruto,1.4
Kisenosato,1.3,Aminishiki,3.2
Myogiryu,1.95,Kakuryu,1.8
Tochiozan,2.7,Harumafuji,1.4
Kyokutenho,1.95,Kotoshogiku,1.75
Goeido,1.53,Kaisei,2.3
Gagamaru,1.75,Aran,1.95
Hakuho,1.11,Shohozan,5.5
Kotooshu,1.75,Toyonoshima,1.95
Tochinoshin,1.75,Ikioi,1.95
