rikishi1,odds1,rikishi2,odds2
Kyokutenho,1.95,Shohozan,1.75
Goeido,1.35,Tochinoshin,2.95
Ikioi,3.4,Baruto,1.27
Hakuho,1.55,Harumafuji,2.3
Kotoshogiku,1.22,Kakuryu,3.8
Tochiozan,1.3,Takayasu,3.2
Kisenosato,1.55,Kotooshu,2.3
Toyonoshima,1.42,Toyohibiki,2.65
Toyonoshima,2.55,Myogiryu,1.45
Kaisei,2,Shohozan,1.72
Hakuho,1.2,Kisenosato,4
Goeido,1.65,Takayasu,2.1
Aran,2.4,Kotoshogiku,1.5
Kakuryu,4.75,Harumafuji,1.15
Aminishiki,1.35,Toyohibiki,2.95
Tochiozan,1.57,Ikioi,2.25
Kotooshu,2,Baruto,1.72
Aoiyama,2.25,Myogiryu,1.57
Kotooshu,1.4,Tochinoshin,2.7
Aminishiki,1.57,Kaisei,2.25
Takayasu,2.55,Baruto,1.45
Kisenosato,4,Harumafuji,1.2
Toyonoshima,1.75,Shohozan,1.95
Tochiozan,2.1,Kotoshogiku,1.65
Hakuho,1.1,Kakuryu,5.8
Goeido,1.57,Aran,2.25
Kotoshogiku,3.8,Harumafuji,1.22
Tochinoshin,2.15,Myogiryu,1.62
Toyohibiki,2.2,Shohozan,1.6
Kisenosato,1.45,Kakuryu,2.55
Toyonoshima,3.2,Baruto,1.3
Tochiozan,1.75,Kyokutenho,1.95
Hakuho,1.11,Kotooshu,5.5
Goeido,1.55,Aminishiki,2.3
Aoiyama,1.62,Kaisei,2.15
Hakuho,1.15,Kotoshogiku,4.75
Goeido,1.45,Shohozan,2.55
Aran,3.55,Kakuryu,1.25
Kotooshu,3.55,Harumafuji,1.25
Aminishiki,1.6,Kyokutenho,2.2
Kisenosato,1.35,Kaisei,2.95
Myogiryu,1.95,Baruto,1.75
Tochiozan,2.1,Toyonoshima,1.65
Toyonoshima,1.5,Gagamaru,2.4
Kaisei,2.95,Kakuryu,1.35
Hakuho,1.1,Goeido,5.8
Kotooshu,1.3,Kyokutenho,3.2
Aoiyama,2.25,Aran,1.57
Toyohibiki,2.1,Takekaze,1.65
Kisenosato,2.1,Kotoshogiku,1.65
Aminishiki,1.95,Shohozan,1.75
Tochiozan,1.95,Myogiryu,1.75
Baruto,4,Harumafuji,1.2
Goeido,5.5,Harumafuji,1.11
Kotooshu,2.1,Kakuryu,1.65
Kaisei,2.6,Kotoshogiku,1.43
Ikioi,1.95,Kyokutenho,1.75
Kisenosato,1.2,Toyonoshima,4
Myogiryu,1.6,Shohozan,2.2
Tochiozan,1.6,Aminishiki,2.2
Hakuho,1.11,Baruto,5.5
Kotooshu,1.7,Tochiozan,2.02
Aminishiki,2.72,Baruto,1.4
Toyohibiki,2.1,Kyokutenho,1.65
Kisenosato,1.25,Shohozan,3.55
Toyonoshima,3.2,Kotoshogiku,1.3
Gagamaru,5.5,Harumafuji,1.11
Hakuho,1.15,Kaisei,4.75
Goeido,2.4,Kakuryu,1.5
Aran,1.95,Myogiryu,1.75
Aminishiki,1.95,Myogiryu,1.75
Shohozan,3.55,Kotoshogiku,1.25
Kisenosato,1.5,Goeido,2.4
Toyonoshima,1.65,Aran,2.1
